Category,Screen Size(in inches),Screen Resolution,CPU,GHz,RAM(IN GB),Storage(Gb),GPU,OS,Weight (in kg),Price (in php)
3,15.6,1080,6,2.8,8,0,1,6,3.2,78544.81
1,15.6,1080,6,2.8,8,1,1,2,2.5,59195.82
6,17.3,1080,6,2.9,16,1,1,6,3.42,174434.79
1,15.6,1080,12,2.4,6,0,1,6,2.4,30172.33
2,15.6,1080,6,2.7,16,1,1,6,1.63,88763.5
1,14,768,4,2.4,4,1,0,6,1.3,30776.99
3,17.3,1080,6,2.8,16,3,1,6,2.9,128308
1,17.3,900,5,2.5,6,0,1,6,2.8,39242.17
1,15.6,768,5,2.5,8,0,1,8,2.2,33195.61
3,15.6,1080,6,2.8,8,3,1,6,2.5,76488.98
1,15.6,768,2,1.1,4,0,0,8,2.2,21767.01
4,13.3,1080,6,2.8,16,1,0,6,1.28,119419.56
1,15.6,1080,6,2.5,8,1,1,6,2.2,63065.62
1,15.6,1080,5,2.5,8,3,1,6,2.3,49521.33
1,15.6,1080,4,2,4,0,0,6,1.86,28358.37
1,13.3,1080,5,2.5,8,1,0,6,1.1,60405.13
2,13.3,2160,6,1.8,16,1,0,6,1.21,151103.53
3,15.6,1080,6,2.8,16,3,1,6,2.8,126917.29
1,15.6,1080,10,2.2,8,1,1,6,2.23,28358.37
4,11.6,768,1,1.1,2,5,0,6,1.1,16628.04
1,15.6,1080,5,1.6,8,3,1,6,2.33,51032.97
4,13.3,2160,6,1.8,16,1,0,6,1.29,148080.25
1,13.3,768,1,1.6,4,5,0,3,1.45,27808.13
1,14,1080,5,2.5,8,1,0,6,1.95,59256.29
1,11.6,768,2,1.6,4,5,0,6,1.4,29325.82
1,14,1080,6,2.7,8,1,0,6,1.48,78121.56
1,17.3,900,5,2.5,4,0,1,6,2.79,35614.24
1,14,1080,6,2.7,8,1,0,6,2,66149.37
1,15.6,768,6,1.8,8,0,0,6,2.1,54539.97
1,15.6,768,13,2.7,8,1,1,6,2.2,39846.83
1,14,768,1,1.1,4,5,0,6,1.44,17655.96
1,15.6,768,5,2.5,6,0,0,6,2.23,33195.61
2,15.6,1080,6,2.7,8,1,1,6,1.7,63482.83
2,12.5,1080,6,2.7,8,1,0,6,1.26,80721.58
1,15.6,2160,6,2.8,32,1,1,6,2.06,159568.72
3,17.3,1080,6,2.8,8,3,1,6,2.7,72498.25
1,15.6,1080,5,2.5,8,1,0,6,2,57019.06
1,14,1080,6,2.7,8,3,0,6,2,80661.11
1,15.6,1080,4,2,4,0,0,6,1.85,27149.05
3,15.6,1080,6,2.8,8,1,1,6,2.5,60405.13
1,14,1080,5,2.6,8,1,0,6,1.48,76670.38
2,15.6,1080,5,1.6,8,3,1,6,1.9,63428.41
1,15.6,1080,5,2.5,8,1,0,6,1.84,69172.65
1,15.6,768,1,1.1,4,0,0,2,2,16627.44
1,15.6,1080,5,1.6,8,1,1,6,2,69097.06
1,15.6,768,1,1.6,4,0,0,2,2.2,16621.99
1,15.6,1080,13,3.6,12,0,1,6,2.2,54358.57
1,15.6,1080,4,2.4,8,0,1,6,2.1,43293.37
4,13.9,2160,6,1.8,16,1,0,6,1.4,126917.29
2,13.3,1080,6,1.8,8,1,0,6,1.2,95475.18
3,15.6,1080,6,2.8,16,3,1,6,2.4,68265.66
1,14,768,1,1.6,2,5,0,6,1.44,16869.9
2,15.6,1080,6,1.9,16,3,0,6,1.88,97226.27
4,11.6,768,1,1.1,4,5,0,6,1.5,22674.6
2,15.6,1080,5,1.6,8,0,1,6,1.9,40088.69
1,15.6,2160,6,2.8,16,1,1,6,2.06,122589.17
1,15.6,1080,6,2.7,8,1,0,6,1.84,78847.14
3,17.3,1080,6,2.8,8,3,1,6,2.7,85196.03
6,15.6,1080,6,2.8,8,1,1,6,2.6,105105.54
1,15.6,1080,6,2.5,16,1,1,6,2.4,84833.24
1,15.6,1080,6,1.8,8,3,1,6,2.02,58706.05
1,15.6,768,1,1.1,4,0,0,8,2.2,19469.32
3,15.6,1080,5,2.5,8,0,1,6,2.65,60405.13
1,15.6,768,5,2.5,8,0,0,6,2.36,33701.71
1,14,1080,5,2.6,8,1,0,6,1.36,86284.41
1,15.6,768,4,2,4,0,0,6,1.86,26544.4
1,14,1080,5,2.5,8,1,0,6,2,57139.99
1,17.3,900,5,2.5,6,3,1,6,2.8,43474.77
1,15.6,1080,5,2.5,8,0,0,6,1.86,38637.52
1,15.6,768,4,2,8,1,1,8,2.2,30172.33
1,15.6,768,2,1.6,8,0,0,6,2.04,23521.12
1,17.3,1080,5,1.6,8,3,1,6,2.8,65605.18
3,15.6,1080,5,2.5,8,3,1,8,2.4,48916.67
1,15.6,1080,6,2.7,8,1,1,6,2.33,54358.57
2,14,1080,6,2.7,8,1,0,6,1.36,105814.8
4,15.6,1080,6,2.7,12,3,1,6,2.26,66451.69
1,15.6,768,11,3,4,1,1,6,2.1,25758.35
3,17.3,1080,16,3,16,3,1,6,3.25,132963.85
1,17.3,900,10,2.2,4,1,1,6,2.6,29567.68
4,13.3,1080,6,1.8,8,1,0,6,1.62,52545.21
1,15.6,1080,11,3,4,1,1,6,1.91,29567.07
5,11.6,768,1,1.1,4,1,0,6,1.59,33437.48
1,15.6,768,1,1.6,4,0,0,6,1.8,18683.87
1,14,768,1,1.1,4,5,0,6,1.5,17293.16
1,15.6,1080,6,2.8,8,0,1,2,2.4,51153.9
3,17.3,1080,6,2.8,8,3,1,6,3.35,72014.53
1,15.6,1080,4,2,4,1,0,8,1.85,24397.87
3,15.6,1080,6,2.8,8,3,1,6,2.3,100070.57
1,14,1080,5,2.5,8,1,1,6,1.5,66451.69
2,13.3,1080,6,2.7,16,1,0,6,1.1,105748.29
2,14,1440,6,2.7,8,1,0,6,1.13,137982.5
1,13.3,1080,4,2.4,4,1,0,6,1.5,33195.61
6,15.6,1080,5,2.6,8,0,1,6,2.23,82777.41
6,15.6,1080,6,2.7,8,1,1,6,2,129094.06
4,14,1440,6,2.7,16,1,0,6,1.42,151708.19
3,17.3,1080,6,2.8,8,0,1,6,3,62823.76
3,17.3,1080,6,2.8,16,3,1,6,3,96200.77
1,15.6,768,5,1.6,12,0,1,6,2.2,41962.52
3,17.3,1080,6,2.8,8,1,1,6,2.7,81568.09
1,15.6,1080,6,2.7,8,1,1,2,2.33,47094.84
2,15.6,1080,11,3,4,1,1,6,1.91,30172.33
1,15.6,1080,6,1.8,8,1,1,6,2.1,74346.08
1,14,1080,5,2.5,8,1,0,6,1.9,56716.73
6,15.6,2160,6,2.8,8,1,1,6,1.78,163982.71
2,14,1440,6,2.7,16,1,0,6,1.13,158722.2
1,15.6,768,1,1.1,4,0,0,6,2.2,18502.47
3,17.3,1080,6,2.8,16,3,1,6,2.9,92451.9
1,15.6,1080,5,1.6,8,3,1,6,2.1,69202.88
1,15.6,1080,6,2.8,8,1,1,2,2.5,53149.26
3,17.3,1080,6,2.8,16,3,1,6,2.8,135987.13
2,14,1080,6,2.7,8,1,0,6,1.1,113252.07
2,13.3,1080,6,2.5,16,1,0,6,1.2,105633.4
2,14,1080,6,2.8,8,1,0,6,1.36,101582.21
1,15.6,1080,4,2,4,0,0,6,2.2,24730.43
1,11.6,768,1,1.1,2,5,0,6,1.15,18408.75
6,15.6,1080,6,2.8,8,1,1,6,2.67,116396.28
2,14,1440,6,2.8,8,1,1,6,1.7,117484.66
1,15.6,1080,4,2,4,0,1,6,2.1,28358.37
4,13.3,1080,6,2.5,8,1,0,6,1.6,47707.96
4,13.3,1080,5,2.5,8,1,0,6,1.27,56112.08
1,15.6,1080,5,2.5,4,1,1,2,2.3,36212.85
1,13.3,768,4,2,4,1,0,6,1.65,41660.8
2,14,1080,6,2.5,8,1,0,6,1.43,90698.4
1,15.6,768,5,2.5,8,0,0,6,2.14,32648.4
2,14,1080,6,1.8,8,1,1,6,1.75,73488.68
4,15.6,2160,6,2.8,16,1,1,6,2,114824.17
1,12.3,1824,1,1.1,6,5,0,6,1.4,27149.05
1,15.6,1080,6,2.9,8,1,0,6,2.31,86284.41
1,15.6,1080,4,2.4,8,0,1,2,2.3,36097.96
3,17.3,1440,6,2.9,16,3,1,6,4.42,169243.21
3,15.6,1080,6,2.8,8,3,1,6,2.62,70079.63
1,15.6,1080,6,1.8,8,3,1,6,2.02,69075.9
2,14,1080,6,2.8,8,1,0,2,1.6,66451.69
3,17.3,1080,6,2.8,12,3,1,6,3.35,120870.73
4,11.6,1080,1,1.1,4,1,0,6,1.16,18079.21
5,11.6,768,1,1.6,4,5,0,3,1.15,16265.25
1,13.3,1080,6,2.7,8,1,0,6,1.4,61070.26
1,14,1080,4,2.7,4,1,0,6,1.7,36218.89
6,15.6,2160,6,2.8,16,1,1,6,2.3,147838.39
1,15.6,1080,6,2.9,16,1,1,6,2.5,148080.25
3,17.3,1080,16,3.2,8,3,1,6,3.2,102489.19
1,15.6,768,1,1.6,4,0,0,6,2.1,20981.56
2,12.3,1600,6,1.3,16,1,0,3,1.1,132963.85
